benchmark,validation_target_rate,threshold,test_realized_rate,test_accuracy,avg_tokens
gpqa,0.0,inf,0.0,0.46,3199.46
gsm8k,0.0,inf,0.0,0.935,1693.17
math,0.0,inf,0.0,0.8,2906.7933333333335
mmlu_pro,0.0,inf,0.0,0.69,2825.96
gpqa,0.1,0.6104172468185425,0.05,0.46,3436.55
gsm8k,0.1,0.6104172468185425,0.045,0.94,1878.435
math,0.1,0.6104172468185425,0.15666666666666668,0.8566666666666667,4446.386666666666
mmlu_pro,0.1,0.6104172468185425,0.01,0.695,2895.245
gpqa,0.2,0.13614621758460999,0.3,0.47,4910.54
gsm8k,0.2,0.13614621758460999,0.08,0.945,1990.32
math,0.2,0.13614621758460999,0.24,0.8666666666666667,5086.413333333333
mmlu_pro,0.2,0.13614621758460999,0.155,0.7,3623.235
gpqa,0.30000000000000004,0.024695757776498795,0.51,0.47,5964.75
gsm8k,0.30000000000000004,0.024695757776498795,0.095,0.945,2043.83
math,0.30000000000000004,0.024695757776498795,0.2733333333333333,0.8633333333333333,5291.536666666667
mmlu_pro,0.30000000000000004,0.024695757776498795,0.345,0.705,4458.325
gpqa,0.4,0.007177057676017284,0.685,0.47,6758.65
gsm8k,0.4,0.007177057676017284,0.13,0.945,2161.525
math,0.4,0.007177057676017284,0.3433333333333333,0.8666666666666667,5709.553333333333
mmlu_pro,0.4,0.007177057676017284,0.635,0.7,5531.945
gpqa,0.5,0.004456688184291124,0.805,0.47,7155.215
gsm8k,0.5,0.004456688184291124,0.205,0.945,2409.12
math,0.5,0.004456688184291124,0.47,0.87,6340.97
mmlu_pro,0.5,0.004456688184291124,0.875,0.7,6242.435
gpqa,0.6000000000000001,0.003742670640349388,0.82,0.47,7190.755
gsm8k,0.6000000000000001,0.003742670640349388,0.29,0.945,2660.87
math,0.6000000000000001,0.003742670640349388,0.5866666666666667,0.87,6776.69
mmlu_pro,0.6000000000000001,0.003742670640349388,0.975,0.695,6537.17
gpqa,0.7000000000000001,0.0031255478970706463,0.845,0.47,7309.135
gsm8k,0.7000000000000001,0.0031255478970706463,0.465,0.945,3184.42
math,0.7000000000000001,0.0031255478970706463,0.7233333333333334,0.87,7278.316666666667
mmlu_pro,0.7000000000000001,0.0031255478970706463,1.0,0.695,6600.68
gpqa,0.8,0.002774108201265335,0.86,0.47,7356.115
gsm8k,0.8,0.002774108201265335,0.62,0.945,3599.835
math,0.8,0.002774108201265335,0.8133333333333334,0.87,7603.366666666667
mmlu_pro,0.8,0.002774108201265335,1.0,0.695,6600.68
gpqa,0.9,0.0023470090236514807,0.865,0.47,7366.645
gsm8k,0.9,0.0023470090236514807,0.84,0.945,4172.965
math,0.9,0.0023470090236514807,0.9033333333333333,0.87,7932.406666666667
mmlu_pro,0.9,0.0023470090236514807,1.0,0.695,6600.68
gpqa,1.0,-inf,1.0,0.485,7896.63
gsm8k,1.0,-inf,1.0,0.95,4597.215
math,1.0,-inf,1.0,0.87,8427.026666666667
mmlu_pro,1.0,-inf,1.0,0.695,6600.68
