benchmark,validation_target_rate,threshold,test_realized_rate,test_accuracy,avg_tokens
gpqa,0.0,inf,0.0,0.46,3199.46
gsm8k,0.0,inf,0.0,0.935,1693.17
math,0.0,inf,0.0,0.8,2906.7933333333335
mmlu_pro,0.0,inf,0.0,0.69,2825.96
gpqa,0.1,0.6225336790084839,0.065,0.46,3593.995
gsm8k,0.1,0.6225336790084839,0.01,0.935,1730.92
math,0.1,0.6225336790084839,0.14,0.8466666666666667,4201.6466666666665
mmlu_pro,0.1,0.6225336790084839,0.015,0.695,2962.205
gpqa,0.2,0.04603337496519089,0.385,0.48,5327.77
gsm8k,0.2,0.04603337496519089,0.035,0.935,1812.755
math,0.2,0.04603337496519089,0.21333333333333335,0.85,4735.9
mmlu_pro,0.2,0.04603337496519089,0.215,0.705,3871.84
gpqa,0.30000000000000004,0.01124869380146265,0.58,0.475,6252.77
gsm8k,0.30000000000000004,0.01124869380146265,0.05,0.935,1850.755
math,0.30000000000000004,0.01124869380146265,0.24,0.85,4875.6
mmlu_pro,0.30000000000000004,0.01124869380146265,0.405,0.705,4536.905
gpqa,0.4,0.0058127534575760365,0.71,0.475,6841.37
gsm8k,0.4,0.0058127534575760365,0.065,0.935,1889.785
math,0.4,0.0058127534575760365,0.29333333333333333,0.8466666666666667,5134.79
mmlu_pro,0.4,0.0058127534575760365,0.645,0.7,5441.33
gpqa,0.5,0.004261053167283535,0.785,0.475,7075.97
gsm8k,0.5,0.004261053167283535,0.1,0.935,1991.16
math,0.5,0.004261053167283535,0.43333333333333335,0.8466666666666667,5644.536666666667
mmlu_pro,0.5,0.004261053167283535,0.76,0.7,5851.375
gpqa,0.6000000000000001,0.003381953574717045,0.83,0.475,7210.035
gsm8k,0.6000000000000001,0.003381953574717045,0.155,0.935,2125.845
math,0.6000000000000001,0.003381953574717045,0.6033333333333334,0.8466666666666667,6222.166666666667
mmlu_pro,0.6000000000000001,0.003381953574717045,0.925,0.7,6342.44
gpqa,0.7000000000000001,0.002582322107627988,0.87,0.475,7379.43
gsm8k,0.7000000000000001,0.002582322107627988,0.385,0.935,2658.775
math,0.7000000000000001,0.002582322107627988,0.7766666666666666,0.8466666666666667,6845.3533333333335
mmlu_pro,0.7000000000000001,0.002582322107627988,0.99,0.695,6564.475
gpqa,0.8,0.002381602767854929,0.87,0.475,7379.43
gsm8k,0.8,0.002381602767854929,0.515,0.935,2945.32
math,0.8,0.002381602767854929,0.81,0.8466666666666667,6977.426666666666
mmlu_pro,0.8,0.002381602767854929,0.995,0.695,6580.14
gpqa,0.9,0.0019051004201173782,0.88,0.475,7406.3
gsm8k,0.9,0.0019051004201173782,0.73,0.935,3430.085
math,0.9,0.0019051004201173782,0.8866666666666667,0.8466666666666667,7275.533333333334
mmlu_pro,0.9,0.0019051004201173782,1.0,0.695,6600.68
gpqa,1.0,-inf,1.0,0.485,7896.63
gsm8k,1.0,-inf,1.0,0.945,4080.665
math,1.0,-inf,1.0,0.86,7851.18
mmlu_pro,1.0,-inf,1.0,0.695,6600.68
