benchmark,validation_target_rate,threshold,test_realized_rate,test_accuracy,avg_tokens
gpqa,0.0,inf,0.0,0.4117647058823529,4393.39705882353
gsm8k,0.0,inf,0.0,0.93,1865.505
math,0.0,inf,0.0,0.725,3203.985
mmlu_pro,0.0,inf,0.0,0.625,3278.62
gpqa,0.1,0.8730723857879639,0.058823529411764705,0.4264705882352941,4852.882352941177
gsm8k,0.1,0.8730723857879639,0.01,0.935,1903.21
math,0.1,0.8730723857879639,0.165,0.795,4709.57
mmlu_pro,0.1,0.8730723857879639,0.045,0.63,3686.87
gpqa,0.2,0.042588844895362854,0.3088235294117647,0.4411764705882353,6726.970588235294
gsm8k,0.2,0.042588844895362854,0.035,0.925,2009.32
math,0.2,0.042588844895362854,0.38,0.825,6356.5
mmlu_pro,0.2,0.042588844895362854,0.18,0.63,4412.125
gpqa,0.30000000000000004,0.0037289615720510483,0.45588235294117646,0.4411764705882353,7769.014705882353
gsm8k,0.30000000000000004,0.0037289615720510483,0.055,0.92,2081.47
math,0.30000000000000004,0.0037289615720510483,0.64,0.835,7666.6
mmlu_pro,0.30000000000000004,0.0037289615720510483,0.26,0.63,4830.035
gpqa,0.4,0.0010908914264291525,0.4852941176470588,0.4411764705882353,8012.35294117647
gsm8k,0.4,0.0010908914264291525,0.08,0.92,2168.415
math,0.4,0.0010908914264291525,0.76,0.84,8116.035
mmlu_pro,0.4,0.0010908914264291525,0.36,0.63,5161.13
gpqa,0.5,-0.0012024997267872095,0.5588235294117647,0.4411764705882353,8481.279411764706
gsm8k,0.5,-0.0012024997267872095,0.145,0.925,2398.265
math,0.5,-0.0012024997267872095,0.97,0.84,8756.31
mmlu_pro,0.5,-0.0012024997267872095,0.54,0.635,5807.52
gpqa,0.6000000000000001,-0.0016112902667373419,0.5882352941176471,0.4411764705882353,8633.54411764706
gsm8k,0.6000000000000001,-0.0016112902667373419,0.45,0.925,3195.095
math,0.6000000000000001,-0.0016112902667373419,1.0,0.84,8840.005
mmlu_pro,0.6000000000000001,-0.0016112902667373419,0.615,0.635,6073.39
gpqa,0.7000000000000001,-0.0017477693036198616,0.5882352941176471,0.4411764705882353,8633.54411764706
gsm8k,0.7000000000000001,-0.0017477693036198616,0.73,0.925,3916.93
math,0.7000000000000001,-0.0017477693036198616,1.0,0.84,8840.005
mmlu_pro,0.7000000000000001,-0.0017477693036198616,0.635,0.635,6130.77
gpqa,0.8,-0.0018873310182243586,0.5882352941176471,0.4411764705882353,8633.54411764706
gsm8k,0.8,-0.0018873310182243586,0.865,0.925,4284.795
math,0.8,-0.0018873310182243586,1.0,0.84,8840.005
mmlu_pro,0.8,-0.0018873310182243586,0.665,0.635,6237.84
gpqa,0.9,-0.0053405496291816235,0.8676470588235294,0.4411764705882353,10388.970588235294
gsm8k,0.9,-0.0053405496291816235,1.0,0.925,4741.695
math,0.9,-0.0053405496291816235,1.0,0.84,8840.005
mmlu_pro,0.9,-0.0053405496291816235,0.905,0.635,7398.79
gpqa,1.0,-inf,1.0,0.4411764705882353,11146.04411764706
gsm8k,1.0,-inf,1.0,0.925,4741.695
math,1.0,-inf,1.0,0.84,8840.005
mmlu_pro,1.0,-inf,1.0,0.635,7958.665
